Temp,Volts(uV),Ohms,Amps(uA),Phase (Past 90*)
103.8,34.1,0.622,54.8,154.3*
99.35,33.1,0.604,54.8,151.7
98.13,32.7,0.597,54.8,151
97.32,32.4,0.591,54.8,152
97.1,32.3,0.589,54.8,150
96.6,32.1,0.586,54.8,150
96.17,31.9,0.582,54.8,150
95.91,31.8,0.580,54.8,150.9
95.1,31.5,0.575,54.8,150.9
93.61,30.8,0.562,54.8,148.5
92.66,30.4,0.555,54.8,149.4
90.77,29.9,0.546,54.8,150.1
88.42,29.1,0.531,54.8,149.9
85.27,28,0.511,54.8,149.6
83.2,27.4,0.500,54.8,148.9
81.31,26.6,0.485,54.8,150
76.16,24.7,0.451,54.8,148.1
74.56,24.2,0.442,54.8,148
72.4,23.3,0.425,54.8,149.1
70.1,22.6,0.412,54.8,148.5
67.67,21.3,0.389,54.8,148.1
64.83,20.3,0.370,54.8,148.6
62.58,19.4,0.354,54.8,149.1
60,18.4,0.336,54.8,148.2
58.69,17.8,0.325,54.8,148.1
56.6,16.7,0.305,54.8,147.4
54.02,15.8,0.288,54.8,147.9
52,15,0.274,54.8,148.1
50,14.5,0.265,54.8,147.6
47.07,13,0.237,54.8,147
43.4,11.3,0.206,54.8,148
41.08,10.4,0.190,54.8,148.6
38.42,9.6,0.175,54.8,148.6
35.4,8.2,0.150,54.8,148
33.1,7.5,0.137,54.8,147.7
30.3,6.8,0.124,54.8,146
27.7,5.9,0.108,54.8,147
24.4,5.1,0.093,54.8,146
20.3,3.8,0.069,54.8,145
17.67,3.1,0.057,54.8,144.4
15.29,2.4,0.044,54.8,144.7
13.01,2,0.036,54.8,144
10.43,1.5,0.027,54.8,144
7.06,1.4,0.026,54.8,0
4.32,0.4,0.007,54.8,0
3.4,0.3,0.005,54.8,0
2.9,0.1,0.002,54.8,0